medal_type,name,gender,country_code,country,nationality_code,nationality,event,birth_date
Silver Medal,ANTONIA,Female,BRA,Brazil,BRA,Brazil,Women,1994-04-26
Silver Medal,TARCIANE,Female,BRA,Brazil,BRA,Brazil,Women,2003-05-27
Silver Medal,RAFAELLE,Female,BRA,Brazil,BRA,Brazil,Women,1991-06-18
Silver Medal,DUDA SAMPAIO,Female,BRA,Brazil,BRA,Brazil,Women,2001-05-18
Silver Medal,TAMIRES,Female,BRA,Brazil,BRA,Brazil,Women,1987-10-10
Silver Medal,KEROLIN,Female,BRA,Brazil,BRA,Brazil,Women,1999-11-17
Silver Medal,VITORIA YAYA,Female,BRA,Brazil,BRA,Brazil,Women,2002-01-23
Silver Medal,ADRIANA,Female,BRA,Brazil,BRA,Brazil,Women,1996-11-17
Silver Medal,MARTA,Female,BRA,Brazil,BRA,Brazil,Women,1986-02-19
Silver Medal,JHENIFFER,Female,BRA,Brazil,BRA,Brazil,Women,2001-11-06
Silver Medal,TAINA,Female,BRA,Brazil,BRA,Brazil,Women,1995-05-01
Silver Medal,YASMIM,Female,BRA,Brazil,BRA,Brazil,Women,1996-10-28
Silver Medal,LUDMILA,Female,BRA,Brazil,BRA,Brazil,Women,1994-12-01
Silver Medal,THAIS,Female,BRA,Brazil,BRA,Brazil,Women,1996-05-01
Silver Medal,GABI NUNES,Female,BRA,Brazil,BRA,Brazil,Women,1997-03-10
Silver Medal,ANA VITORIA,Female,BRA,Brazil,BRA,Brazil,Women,2000-03-06
Silver Medal,GABI PORTILHO,Female,BRA,Brazil,BRA,Brazil,Women,1995-07-18
Silver Medal,PRISCILA,Female,BRA,Brazil,BRA,Brazil,Women,2004-08-22
Silver Medal,ANGELINA,Female,BRA,Brazil,BRA,Brazil,Women,2000-01-26
Silver Medal,LAUREN,Female,BRA,Brazil,BRA,Brazil,Women,2002-09-13
Silver Medal,LUCIANA,Female,BRA,Brazil,BRA,Brazil,Women,1987-07-24
Gold Medal,KRISTIANSEN Veronica,Female,NOR,Norway,NOR,Norway,Women,1990-07-10
Gold Medal,AARDAHL Maren,Female,NOR,Norway,NOR,Norway,Women,1994-03-02
Gold Medal,SKOGRAND Stine,Female,NOR,Norway,NOR,Norway,Women,1993-03-03
Gold Medal,MOERK Nora,Female,NOR,Norway,NOR,Norway,Women,1991-04-05
Gold Medal,OFTEDAL Stine Bredal,Female,NOR,Norway,NOR,Norway,Women,1991-09-25
Gold Medal,SOLBERG-OESTHASSEL Silje,Female,NOR,Norway,NOR,Norway,Women,1990-06-16
Gold Medal,BRATTSET DALE Kari,Female,NOR,Norway,NOR,Norway,Women,1991-02-15
Gold Medal,BREISTOEL Kristine,Female,NOR,Norway,NOR,Norway,Women,1993-08-23
Gold Medal,INGSTAD Vilde,Female,NOR,Norway,NOR,Norway,Women,1994-12-18
Gold Medal,LUNDE Katrine,Female,NOR,Norway,NOR,Norway,Women,1980-03-30
Gold Medal,JACOBSEN Marit,Female,NOR,Norway,NOR,Norway,Women,1994-02-25
Gold Medal,HERREM Camilla,Female,NOR,Norway,NOR,Norway,Women,1986-10-08
Gold Medal,SOLBERG-ISAKSEN Sanna,Female,NOR,Norway,NOR,Norway,Women,1990-06-16
Gold Medal,REISTAD Henny,Female,NOR,Norway,NOR,Norway,Women,1999-02-09
Gold Medal,RUSHFELDT DEILA Thale,Female,NOR,Norway,NOR,Norway,Women,2000-01-15
Silver Medal,GLAUSER Laura,Female,FRA,France,FRA,France,Women,1993-08-20
Silver Medal,NOCANDY Meline,Female,FRA,France,FRA,France,Women,1998-02-25
Silver Medal,TOUBLANC Alicia,Female,FRA,France,FRA,France,Women,1996-05-03
Silver Medal,VALENTINI Chloe,Female,FRA,France,FRA,France,Women,1995-04-19
Silver Medal,LASSOURCE Coralie,Female,FRA,France,FRA,France,Women,1992-09-01
Silver Medal,ZAADI DEUNA Grace,Female,FRA,France,FRA,France,Women,1993-07-07
Silver Medal,DARLEUX MINGAM Cleopatre,Female,FRA,France,FRA,France,Women,1989-07-01
Silver Medal,FLIPPES Laura,Female,FRA,France,FRA,France,Women,1994-12-13
Silver Medal,KANOR Orlane,Female,FRA,France,FRA,France,Women,1997-06-16
Silver Medal,HORACEK Tamara,Female,FRA,France,FRA,France,Women,1995-11-05
Silver Medal,FOPPA Pauletta,Female,FRA,France,FRA,France,Women,2000-12-22
Silver Medal,NZE MINKO Estelle,Female,FRA,France,FRA,France,Women,1991-08-11
Silver Medal,ONDONO Onacia,Female,FRA,France,FRA,France,Women,1996-04-14
Silver Medal,GRANIER Lucie,Female,FRA,France,FRA,France,Women,1999-06-11
Silver Medal,BOUKTIT Sarah,Female,FRA,France,FRA,France,Women,2002-08-27
Silver Medal,GRANDVEAU Lena,Female,FRA,France,FRA,France,Women,2003-01-21
Silver Medal,SAKO Hatadou,Female,FRA,France,FRA,France,Women,1995-10-21
Bronze Medal,TOFT Sandra,Female,DEN,Denmark,DEN,Denmark,Women,1989-10-18
Bronze Medal,AABERG IVERSEN Sarah,Female,DEN,Denmark,DEN,Denmark,Women,1990-04-10
Bronze Medal,ELVER Helena,Female,DEN,Denmark,DEN,Denmark,Women,1998-03-01
Bronze Medal,HANSEN Anne Mette,Female,DEN,Denmark,DEN,Denmark,Women,1994-08-25
Bronze Medal,HEINDAHL Kathrine,Female,DEN,Denmark,DEN,Denmark,Women,1992-03-26
Bronze Medal,HAUGSTED Line,Female,DEN,Denmark,DEN,Denmark,Women,1994-11-11
Bronze Medal,REINHARDT Althea,Female,DEN,Denmark,DEN,Denmark,Women,1996-09-01
Bronze Medal,TRANBORG Mette,Female,DEN,Denmark,DEN,Denmark,Women,1996-01-01
Bronze Medal,JOERGENSEN Kristina,Female,DEN,Denmark,DEN,Denmark,Women,1998-01-17
Bronze Medal,OESTERGAARD Trine,Female,DEN,Denmark,DEN,Denmark,Women,1991-10-17
Bronze Medal,VINTER BURGAARD Louise,Female,DEN,Denmark,DEN,Denmark,Women,1992-10-17
Bronze Medal,HOEJLUND Mie,Female,DEN,Denmark,DEN,Denmark,Women,1997-10-24
Bronze Medal,FRIIS Emma,Female,DEN,Denmark,DEN,Denmark,Women,1999-10-31
Bronze Medal,IVERSEN Rikke,Female,DEN,Denmark,DEN,Denmark,Women,1993-05-18
Bronze Medal,MOELLER Michala,Female,DEN,Denmark,DEN,Denmark,Women,2000-02-16
Gold Medal,CHEN Meng,Female,CHN,China,CHN,China,Women's Team,1994-01-15
Gold Medal,SUN Yingsha,Female,CHN,China,CHN,China,Women's Team,2000-11-04
Gold Medal,WANG Manyu,Female,CHN,China,CHN,China,Women's Team,1999-02-09
Silver Medal,HAYATA Hina,Female,JPN,Japan,JPN,Japan,Women's Team,2000-07-07
Silver Medal,HARIMOTO Miwa,Female,JPN,Japan,JPN,Japan,Women's Team,2008-06-16
Silver Medal,HIRANO Miu,Female,JPN,Japan,JPN,Japan,Women's Team,2000-04-14
Bronze Medal,SHIN Yubin,Female,KOR,Korea,KOR,Korea,Women's Team,2004-07-05
Bronze Medal,JEON Jihee,Female,KOR,Korea,KOR,Korea,Women's Team,1992-10-28
Bronze Medal,LEE Eunhye,Female,KOR,Korea,KOR,Korea,Women's Team,1995-05-02
Gold Medal,GREBENNIKOV Jenia,Male,FRA,France,FRA,France,Men,1990-08-13
Gold Medal,CHINENYEZE Barthelemy,Male,FRA,France,FRA,France,Men,1998-02-28
Gold Medal,JOUFFROY Quentin,Male,FRA,France,FRA,France,Men,1993-07-05
Gold Medal,le GOFF Nicolas,Male,FRA,France,FRA,France,Men,1992-02-15
Gold Medal,FAURE Theo,Male,FRA,France,FRA,France,Men,1999-10-12
Gold Medal,PATRY Jean,Male,FRA,France,FRA,France,Men,1996-12-27
Gold Medal,BRIZARD Antoine,Male,FRA,France,FRA,France,Men,1994-05-22
Gold Medal,TONIUTTI Benjamin,Male,FRA,France,FRA,France,Men,1989-10-30
Gold Medal,CLEVENOT Trevor,Male,FRA,France,FRA,France,Men,1994-06-28
Gold Medal,LOUATI Yacine,Male,FRA,France,FRA,France,Men,1992-03-04
Gold Medal,NGAPETH Earvin,Male,FRA,France,FRA,France,Men,1991-02-12
Gold Medal,TILLIE Kevin,Male,FRA,France,FRA,France,Men,1990-11-02
Gold Medal,CARLE Timothee,Male,FRA,France,FRA,France,Men,1995-11-30
Silver Medal,KACZMAREK Lukasz,Male,POL,Poland,POL,Poland,Men,1994-06-29
Silver Medal,KUREK Bartosz,Male,POL,Poland,POL,Poland,Men,1988-08-29
Silver Medal,LEON VENERO Wilfredo,Male,POL,Poland,POL,Poland,Men,1993-07-31
Silver Medal,SLIWKA Aleksander,Male,POL,Poland,POL,Poland,Men,1995-05-24
Silver Medal,LOMACZ Grzegorz,Male,POL,Poland,POL,Poland,Men,1987-10-01
Silver Medal,KOCHANOWSKI Jakub,Male,POL,Poland,POL,Poland,Men,1997-07-17
Silver Medal,SEMENIUK Kamil,Male,POL,Poland,POL,Poland,Men,1996-07-16
Silver Medal,ZATORSKI Pawel,Male,POL,Poland,POL,Poland,Men,1990-06-21
Silver Medal,JANUSZ Marcin,Male,POL,Poland,POL,Poland,Men,1994-07-31
Silver Medal,BIENIEK Mateusz,Male,POL,Poland,POL,Poland,Men,1994-04-05
Silver Medal,FORNAL Tomasz,Male,POL,Poland,POL,Poland,Men,1997-08-31
Silver Medal,HUBER Norbert,Male,POL,Poland,POL,Poland,Men,1998-08-14
Silver Medal,BOLADZ Bartlomiej,Male,POL,Poland,POL,Poland,Men,1994-09-28
Bronze Medal,DUARTE ALECRIM Diana,Female,BRA,Brazil,BRA,Brazil,Women,1999-02-22
Bronze Medal,ALEXANDRE COSTA NUNES Nyeme Victor,Female,BRA,Brazil,BRA,Brazil,Women,1998-10-11
Bronze Medal,SILVA CARNEIRO Macris Fernanda,Female,BRA,Brazil,BRA,Brazil,Women,1989-03-03
Bronze Medal,DAHER de MENEZES Thaisa,Female,BRA,Brazil,BRA,Brazil,Women,1987-05-15
Bronze Medal,MONTIBELLER Rosamaria,Female,BRA,Brazil,BRA,Brazil,Women,1994-04-09
Bronze Medal,RATZKE Roberta Silva,Female,BRA,Brazil,BRA,Brazil,Women,1990-04-28
Bronze Medal,BRAGA GUIMARAES Gabriela,Female,BRA,Brazil,BRA,Brazil,Women,1994-05-19
Bronze Medal,MENEZES OLIVEIRA de SOUZA Ana Cris,Female,BRA,Brazil,BRA,Brazil,Women,2004-04-07
Bronze Medal,da SILVA Ana Carolina,Female,BRA,Brazil,BRA,Brazil,Women,1991-04-08
Bronze Medal,BERGMANN Julia Isabelle,Female,BRA,Brazil,BRA,Brazil,Women,2001-02-21
Bronze Medal,LEMES SANTOS Tainara,Female,BRA,Brazil,BRA,Brazil,Women,2000-03-09
Bronze Medal,GERALDO TEIXEIRA Lorenne,Female,BRA,Brazil,BRA,Brazil,Women,1996-01-08
Bronze Medal,ARAUJO Natalia,Female,BRA,Brazil,BRA,Brazil,Women,1997-04-10
Gold Medal,ESTER RAMOS Laura,Female,ESP,Spain,ESP,Spain,Women,1990-01-22
Gold Medal,PIRALKOVA COELLO Isabel,Female,ESP,Spain,ESP,Spain,Women,2005-06-23
Gold Medal,ESPAR LLAQUET Anni,Female,ESP,Spain,ESP,Spain,Women,1993-01-08
Gold Medal,ORTIZ Bea,Female,ESP,Spain,ESP,Spain,Women,1995-06-21
Gold Medal,PEREZ VIVAS Nona,Female,ESP,Spain,ESP,Spain,Women,2003-04-10
Gold Medal,CRESPI BARRIGA Paula,Female,ESP,Spain,ESP,Spain,Women,1998-04-07
Gold Medal,RUIZ BARRIL Elena,Female,ESP,Spain,ESP,Spain,Women,2004-10-29
Gold Medal,PENA Pili,Female,ESP,Spain,ESP,Spain,Women,1986-04-04
Gold Medal,FORCA ARIZA Judith,Female,ESP,Spain,ESP,Spain,Women,1996-06-07
Gold Medal,CAMUS Paula,Female,ESP,Spain,ESP,Spain,Women,2002-02-12
Gold Medal,GARCIA GODOY Maica,Female,ESP,Spain,ESP,Spain,Women,1990-10-17
Gold Medal,LEITON ARRONES Paula,Female,ESP,Spain,ESP,Spain,Women,2000-04-27
Gold Medal,TERRE Martina,Female,ESP,Spain,ESP,Spain,Women,2002-08-28
Silver Medal,PALM Gabriella,Female,AUS,Australia,AUS,Australia,Women,1998-05-20
Silver Medal,GOFERS Keesja,Female,AUS,Australia,AUS,Australia,Women,1990-03-16
Silver Medal,ARMIT Elle,Female,AUS,Australia,AUS,Australia,Women,1991-08-20
Silver Medal,HALLIGAN Bronte,Female,AUS,Australia,AUS,Australia,Women,1996-08-12
Silver Medal,GREEN Sienna,Female,AUS,Australia,AUS,Australia,Women,2004-11-01
Silver Medal,ANDREWS Abby,Female,AUS,Australia,AUS,Australia,Women,2000-11-28
Silver Medal,ANDREWS Charlize,Female,AUS,Australia,AUS,Australia,Women,2001-12-26
Silver Medal,HEARN Sienna,Female,AUS,Australia,AUS,Australia,Women,2002-07-16
Silver Medal,ARANCINI Zoe,Female,AUS,Australia,AUS,Australia,Women,1991-07-14
Silver Medal,WILLIAMS Alice,Female,AUS,Australia,AUS,Australia,Women,1998-12-24
Silver Medal,KEARNS Tilly,Female,AUS,Australia,AUS,Australia,Women,2000-10-02
Silver Medal,JACKOVICH Danijela,Female,AUS,Australia,AUS,Australia,Women,1994-11-04
Silver Medal,LONGMAN Genevieve,Female,AUS,Australia,AUS,Australia,Women,1995-10-02
Bronze Medal,AARTS Laura,Female,NED,Netherlands,NED,Netherlands,Women,1996-08-10
Bronze Medal,WOLVES Iris,Female,NED,Netherlands,NED,Netherlands,Women,1994-05-09
Bronze Medal,SLEEKING Brigitte,Female,NED,Netherlands,NED,Netherlands,Women,1998-03-19
Bronze Medal,van der SLOOT Sabrina,Female,NED,Netherlands,NED,Netherlands,Women,1991-03-16
Bronze Medal,KEUNING Maartje,Female,NED,Netherlands,NED,Netherlands,Women,1998-04-26
Bronze Medal,van de KRAATS Simone,Female,NED,Netherlands,NED,Netherlands,Women,2000-11-15
Bronze Medal,ROGGE Bente,Female,NED,Netherlands,NED,Netherlands,Women,1997-10-02
Bronze Medal,SEVENICH Vivian,Female,NED,Netherlands,NED,Netherlands,Women,1993-02-28
Bronze Medal,JOUSTRA Kittylynn,Female,NED,Netherlands,NED,Netherlands,Women,1998-01-11
Bronze Medal,ROGGE Lieke,Female,NED,Netherlands,NED,Netherlands,Women,2000-11-30
Bronze Medal,MOOLHUIJZEN Lola,Female,NED,Netherlands,NED,Netherlands,Women,2004-08-17
Bronze Medal,TEN BROEK Nina,Female,NED,Netherlands,NED,Netherlands,Women,2001-07-04
Bronze Medal,BUIS Sarah,Female,NED,Netherlands,NED,Netherlands,Women,2000-03-20
Gold Medal,LOYD Jewell,Female,USA,United States,USA,United States,Women,1993-10-05
Gold Medal,PLUM Kelsey,Female,USA,United States,USA,United States,Women,1994-08-24
Gold Medal,IONESCU Sabrina,Female,USA,United States,USA,United States,Women,1997-12-06
Gold Medal,COPPER Kahleah,Female,USA,United States,USA,United States,Women,1994-08-28
Gold Medal,GRAY Chelsea,Female,USA,United States,USA,United States,Women,1992-10-08
Gold Medal,WILSON A'ja,Female,USA,United States,USA,United States,Women,1996-08-08
Gold Medal,STEWART Breanna,Female,USA,United States,USA,United States,Women,1994-08-27
Gold Medal,COLLIER Napheesa,Female,USA,United States,USA,United States,Women,1996-09-23
Gold Medal,TAURASI Diana,Female,USA,United States,USA,United States,Women,1982-06-11
Gold Medal,YOUNG Jackie,Female,USA,United States,USA,United States,Women,1997-09-16
Gold Medal,THOMAS Alyssa,Female,USA,United States,USA,United States,Women,1992-04-12
Gold Medal,GRINER Brittney,Female,USA,United States,USA,United States,Women,1990-10-18
Silver Medal,FAUTHOUX Marine,Female,FRA,France,FRA,France,Women,2001-01-23
Silver Medal,CHERY Alexia,Female,FRA,France,FRA,France,Women,1998-09-05
Silver Medal,MICHEL BOURY Sarah,Female,FRA,France,FRA,France,Women,1989-01-10
Silver Medal,AYAYI Valeriane,Female,FRA,France,FRA,France,Women,1994-04-29
Silver Medal,RUPERT Iliana,Female,FRA,France,FRA,France,Women,2001-07-12
Silver Medal,SALAUN Janelle,Female,FRA,France,FRA,France,Women,2001-09-05
Silver Medal,MALONGA Dominique,Female,FRA,France,FRA,France,Women,2005-11-16
Silver Medal,WILLIAMS Gabby,Female,FRA,France,FRA,France,Women,1996-09-09
Silver Medal,BADIANE Marieme,Female,FRA,France,FRA,France,Women,1994-11-24
Silver Medal,JOHANNES Marine,Female,FRA,France,FRA,France,Women,1995-01-21
Silver Medal,LACAN Leila,Female,FRA,France,FRA,France,Women,2004-06-02
Silver Medal,BERNIES Romane,Female,FRA,France,FRA,France,Women,1993-06-27
Bronze Medal,MELBOURNE Jade,Female,AUS,Australia,AUS,Australia,Women,2002-08-18
Bronze Medal,WALLACE Kristy,Female,AUS,Australia,AUS,Australia,Women,1996-01-03
Bronze Medal,TALBOT Steph,Female,AUS,Australia,AUS,Australia,Women,1994-06-15
Bronze Medal,MADGEN Tess,Female,AUS,Australia,AUS,Australia,Women,1990-08-12
Bronze Medal,SMITH Alanna,Female,AUS,Australia,AUS,Australia,Women,1996-09-10
Bronze Medal,MAGBEGOR Ezi,Female,AUS,Australia,AUS,Australia,Women,1999-08-13
Bronze Medal,TOLO Marianna,Female,AUS,Australia,AUS,Australia,Women,1989-07-02
Bronze Medal,GEORGE Cayla,Female,AUS,Australia,AUS,Australia,Women,1989-05-01
Bronze Medal,ATWELL Amy,Female,AUS,Australia,AUS,Australia,Women,1998-06-30
Bronze Medal,BORLASE Isobel,Female,AUS,Australia,AUS,Australia,Women,2004-09-12
Bronze Medal,JACKSON Lauren,Female,AUS,Australia,AUS,Australia,Women,1981-05-11
Bronze Medal,WHITCOMB Sami,Female,AUS,Australia,AUS,Australia,Women,1988-07-20
Gold Medal,JACOBSEN Niklas Landin,Male,DEN,Denmark,DEN,Denmark,Men,1988-12-19
Gold Medal,KIRKELOEKKE Niclas,Male,DEN,Denmark,DEN,Denmark,Men,1994-03-26
Gold Medal,JACOBSEN Magnus Landin,Male,DEN,Denmark,DEN,Denmark,Men,1995-08-20
Gold Medal,JAKOBSEN Emil,Male,DEN,Denmark,DEN,Denmark,Men,1998-01-24
Gold Medal,LAUGE Rasmus,Male,DEN,Denmark,DEN,Denmark,Men,1991-06-20
Gold Medal,NIELSEN Emil,Male,DEN,Denmark,DEN,Denmark,Men,1997-03-10
Gold Medal,SAUGSTRUP Magnus,Male,DEN,Denmark,DEN,Denmark,Men,1996-07-12
Gold Medal,LINDBERG Hans,Male,DEN,Denmark,DEN,Denmark,Men,1981-08-01
Gold Medal,GIDSEL Mathias,Male,DEN,Denmark,DEN,Denmark,Men,1999-02-08
Gold Medal,MOELLGAARD Henrik,Male,DEN,Denmark,DEN,Denmark,Men,1985-01-02
Gold Medal,HANSEN Mikkel,Male,DEN,Denmark,DEN,Denmark,Men,1987-10-22
Gold Medal,JOERGENSEN Lukas,Male,DEN,Denmark,DEN,Denmark,Men,1999-03-31
Gold Medal,ANDERSSON Lasse,Male,DEN,Denmark,DEN,Denmark,Men,1994-03-11
Gold Medal,HALD Simon,Male,DEN,Denmark,DEN,Denmark,Men,1994-09-28
Gold Medal,ARNOLDSEN Thomas,Male,DEN,Denmark,DEN,Denmark,Men,2002-01-11
Gold Medal,PYTLICK Simon,Male,DEN,Denmark,DEN,Denmark,Men,2000-12-11
Silver Medal,SPAETH David,Male,GER,Germany,GER,Germany,Men,2002-04-29
Silver Medal,GOLLA Johannes,Male,GER,Germany,GER,Germany,Men,1997-11-05
Silver Medal,WITZKE Luca,Male,GER,Germany,GER,Germany,Men,1999-04-03
Silver Medal,HEYMANN Sebastian,Male,GER,Germany,GER,Germany,Men,1998-03-01
Silver Medal,FISCHER Justus,Male,GER,Germany,GER,Germany,Men,2003-02-06
Silver Medal,KNORR Juri,Male,GER,Germany,GER,Germany,Men,2000-05-09
Silver Medal,KOESTER Julian,Male,GER,Germany,GER,Germany,Men,2000-03-16
Silver Medal,USCINS Renars,Male,GER,Germany,GER,Germany,Men,2002-04-29
Silver Medal,HAEFNER Kai,Male,GER,Germany,GER,Germany,Men,1989-07-10
Silver Medal,HORNKE Tim,Male,GER,Germany,GER,Germany,Men,1990-08-04
Silver Medal,WOLFF Andreas,Male,GER,Germany,GER,Germany,Men,1991-03-03
Silver Medal,DAHMKE Rune,Male,GER,Germany,GER,Germany,Men,1993-04-10
Silver Medal,MERTENS Lukas,Male,GER,Germany,GER,Germany,Men,1996-03-22
Silver Medal,STEINERT Christoph,Male,GER,Germany,GER,Germany,Men,1990-01-18
Silver Medal,GRGIC Marko,Male,GER,Germany,GER,Germany,Men,2003-09-11
Silver Medal,KOHLBACHER Jannik,Male,GER,Germany,GER,Germany,Men,1995-07-19
Bronze Medal,PEREZ de VARGAS Gonzalo,Male,ESP,Spain,ESP,Spain,Men,1991-01-10
Bronze Medal,MAQUEDA Jorge,Male,ESP,Spain,ESP,Spain,Men,1988-02-06
Bronze Medal,DUJSHEBAEV Alex,Male,ESP,Spain,ESP,Spain,Men,1992-12-17
Bronze Medal,CORRALES Rodrigo,Male,ESP,Spain,ESP,Spain,Men,1991-01-24
Bronze Medal,FIGUERAS Adrian,Male,ESP,Spain,ESP,Spain,Men,1988-08-31
Bronze Medal,GARCIANDIA Imanol,Male,ESP,Spain,ESP,Spain,Men,1995-04-30
Bronze Medal,SERDIO Abel,Male,ESP,Spain,ESP,Spain,Men,1994-04-16
Bronze Medal,CASADO Agustin,Male,ESP,Spain,ESP,Spain,Men,1996-05-21
Bronze Medal,GOMEZ Aleix,Male,ESP,Spain,ESP,Spain,Men,1997-05-07
Bronze Medal,TARRAFETA Ian,Male,ESP,Spain,ESP,Spain,Men,1999-01-04
Bronze Medal,SANCHEZ-MIGALLON Miguel,Male,ESP,Spain,ESP,Spain,Men,1995-02-08
Bronze Medal,DUJSHEBAEV Daniel,Male,ESP,Spain,ESP,Spain,Men,1997-07-04
Bronze Medal,ODRIOZOLA Kauldi,Male,ESP,Spain,ESP,Spain,Men,1997-01-07
Bronze Medal,FERNANDEZ Daniel,Male,ESP,Spain,ESP,Spain,Men,2001-03-28
Bronze Medal,RODRIGUEZ Javier,Male,ESP,Spain,ESP,Spain,Men,2002-07-22
Gold Medal,CAMBI Carlotta,Female,ITA,Italy,ITA,Italy,Women,1996-05-28
Gold Medal,de GENNARO Monica,Female,ITA,Italy,ITA,Italy,Women,1987-01-08
Gold Medal,ORRO Alessia,Female,ITA,Italy,ITA,Italy,Women,1998-07-18
Gold Medal,BOSETTI Caterina Chiara,Female,ITA,Italy,ITA,Italy,Women,1994-02-02
Gold Medal,DANESI Anna,Female,ITA,Italy,ITA,Italy,Women,1996-04-20
Gold Medal,SYLLA Myriam Fatime,Female,ITA,Italy,ITA,Italy,Women,1995-01-08
Gold Medal,EGONU Paola Ogechi,Female,ITA,Italy,ITA,Italy,Women,1998-12-18
Gold Medal,FAHR Sarah Luisa,Female,ITA,Italy,ITA,Italy,Women,2001-09-12
Gold Medal,ANTROPOVA Ekaterina,Female,ITA,Italy,ITA,Italy,Women,2003-03-19
Gold Medal,GIOVANNINI Gaia,Female,ITA,Italy,ITA,Italy,Women,2001-12-17
Gold Medal,SPIRITO Ilaria,Female,ITA,Italy,ITA,Italy,Women,1994-02-20
Gold Medal,LUBIAN Marina,Female,ITA,Italy,ITA,Italy,Women,2000-04-11
Gold Medal,OMORUYI Oghosasere Loveth,Female,ITA,Italy,ITA,Italy,Women,2002-08-25
Silver Medal,SKINNER Avery,Female,USA,United States,USA,United States,Women,1999-04-25
Silver Medal,RETTKE Dana,Female,USA,United States,USA,United States,Women,1999-01-21
Silver Medal,ROBINSON Kelsey,Female,USA,United States,USA,United States,Women,1992-06-25
Silver Medal,THOMPSON Jordan,Female,USA,United States,USA,United States,Women,1997-05-05
Silver Medal,WASHINGTON Haleigh,Female,USA,United States,USA,United States,Women,1995-09-22
Silver Medal,WONG-ORANTES Justine,Female,USA,United States,USA,United States,Women,1995-10-06
Silver Medal,POULTER Jordyn,Female,USA,United States,USA,United States,Women,1997-07-31
Silver Medal,CARLINI Lauren,Female,USA,United States,USA,United States,Women,1995-02-28
Silver Medal,LARSON Jordan,Female,USA,United States,USA,United States,Women,1986-10-16
Silver Medal,DREWS Andrea,Female,USA,United States,USA,United States,Women,1993-12-25
Silver Medal,PLUMMER Kathryn,Female,USA,United States,USA,United States,Women,1998-10-16
Silver Medal,OGBOGU Chiaka,Female,USA,United States,USA,United States,Women,1995-04-15
Silver Medal,HANCOCK Micha,Female,USA,United States,USA,United States,Women,1992-11-10
Gold Medal,FILIPOVIC Radoslav,Male,SRB,Serbia,SRB,Serbia,Men,1997-08-19
Gold Medal,MANDIC Dusan,Male,SRB,Serbia,SRB,Serbia,Men,1994-06-16
Gold Medal,RASOVIC Strahinja,Male,SRB,Serbia,SRB,Serbia,Men,1992-03-09
Gold Medal,RANDELOVIC Sava,Male,SRB,Serbia,SRB,Serbia,Men,1993-07-17
Gold Medal,CUK Milos,Male,SRB,Serbia,SRB,Serbia,Men,1990-12-21
Gold Medal,DEDOVIC Nikola,Male,SRB,Serbia,SRB,Serbia,Men,1992-01-25
Gold Medal,DRASOVIC Radomir,Male,SRB,Serbia,SRB,Serbia,Men,1997-07-22
Gold Medal,JAKSIC Nikola,Male,SRB,Serbia,SRB,Serbia,Men,1997-01-17
Gold Medal,VICO Nemanja,Male,SRB,Serbia,SRB,Serbia,Men,1994-11-19
Gold Medal,UBOVIC Nemanja,Male,SRB,Serbia,SRB,Serbia,Men,1991-02-24
Gold Medal,RASOVIC Viktor,Male,SRB,Serbia,SRB,Serbia,Men,1993-08-13
Gold Medal,JAKSIC Petar,Male,SRB,Serbia,SRB,Serbia,Men,2001-07-20
Gold Medal,MISOVIC Vladimir,Male,SRB,Serbia,SRB,Serbia,Men,2001-09-15
Silver Medal,BIJAC Marko,Male,CRO,Croatia,CRO,Croatia,Men,1991-01-12
Silver Medal,BURIC Rino,Male,CRO,Croatia,CRO,Croatia,Men,1997-04-05
Silver Medal,FATOVIC Loren,Male,CRO,Croatia,CRO,Croatia,Men,1996-11-16
Silver Medal,LONCAR Luka,Male,CRO,Croatia,CRO,Croatia,Men,1987-06-26
Silver Medal,JOKOVIC Maro,Male,CRO,Croatia,CRO,Croatia,Men,1987-10-01
Silver Medal,BUKIC Luka,Male,CRO,Croatia,CRO,Croatia,Men,1994-04-30
Silver Medal,VUKICEVIC Ante,Male,CRO,Croatia,CRO,Croatia,Men,1993-02-24
Silver Medal,ZUVELA Marko,Male,CRO,Croatia,CRO,Croatia,Men,2001-12-22
Silver Medal,MARINIC KRAGIC Jerko,Male,CRO,Croatia,CRO,Croatia,Men,1991-01-24
Silver Medal,VRLIC Josi,Male,CRO,Croatia,CRO,Croatia,Men,1986-04-25
Silver Medal,BILJAKA Matias,Male,CRO,Croatia,CRO,Croatia,Men,1999-01-20
Silver Medal,KHARKOV Konstantin,Male,CRO,Croatia,CRO,Croatia,Men,1997-02-23
Silver Medal,POPADIC Toni,Male,CRO,Croatia,CRO,Croatia,Men,1994-11-05
Bronze Medal,WEINBERG Adrian,Male,USA,United States,USA,United States,Men,2001-11-25
